id	term
HP:0031515	Abnormal meiosis
HP:0020156	Abnormal zona pellucida morphology
HP:0000137	Abnormality of the ovary
HP:0031067	Empty ovarian follicle
HP:0031919	Juvenile type ovarian granulosa cell tumor
HP:0010618	Ovarian fibroma
HP:0000149	Ovarian gonadoblastoma
HP:0100615	Ovarian neoplasm
HP:0031918	Ovarian sex cord-stromal tumor
HP:0030983	Ovarian thecoma
HP:0033524	Abnormal sperm axoneme morphology
HP:0012867	Abnormal sperm mid-piece morphology
HP:0012864	Abnormal sperm morhpology
HP:0012206	Abnormal sperm motility
HP:0034809	Abnormal sperm physiology
HP:0033523	Abnormal sperm principal piece morphology
HP:0033525	Absent sperm axoneme central pair complex
HP:0032558	Absent sperm flagella
HP:0012869	Acephalic spermatozoa
HP:0034913	Acrosomal hypoplasia
HP:0034947	Altered location of the longitudinal column in the fibrous sheath
HP:0034958	Asymmetrical insertion of the midpiece into the head
HP:0034811	bent sperm flagella
HP:0034959	Bent sperm neck
HP:0032560	Coiled sperm flagella
HP:0030974	Cryptozoospermia
HP:0031136	Decreased acrosin in sperm head
HP:0034842	Enlarged sperm head vacuole
HP:0034795	Excess residual spermatozoal cytoplasm
HP:0012205	Globozoospermia
HP:0033393	Irregularly shaped sperm tail
HP:6000135	Low semen volume
HP:0025437	Macrozoospermia
HP:0032561	Microcephalic sperm head
HP:0034309	Multiflagellar spermatozoa
HP:0012208	Non-motile sperm
HP:0000798	Oligospermia
HP:0034794	Pyriform sperm head
HP:0012207	Reduced sperm motility
HP:0034011	Reduced sperm progressive motility
HP:0031040	Round spermatid arrest
HP:6000501	Ruffled acrosome
HP:0032559	Short sperm flagella
HP:0034810	Small acrosomal area
HP:0012865	Sperm head anomaly
HP:0012866	Sperm neck anomaly
HP:0012868	Sperm tail anomaly
HP:0032562	Tapered sperm head
HP:0035008	Thick spermatozoon midpiece insertion
HP:0035007	Thin spermatozoon midpiece
HP:0000035	Abnormal testis morphology
HP:0012872	Abnormal vas deferens morphology
HP:0045058	Abnormality of the testis size
HP:0008640	Congenital macroorchidism
HP:0008734	Decreased testicular size
HP:4000036	Encysted hydrocele of the cord
HP:0008703	Gonadal calcification
HP:0000034	Hydrocele testis
HP:0000815	Hypergonadotrophic hypogonadism
HP:0010791	Hyperplasia of the Leydig cells
HP:0010790	Hypoplasia of the Leydig cells
HP:0008687	Hypoplasia of the prostate
HP:0025038	Intratesticular abscess
HP:0100618	Leydig cell neoplasia
HP:0000053	Macroorchidism
HP:0002050	"Macroorchidism, postpubertal"
HP:0100849	Neoplasm of the scrotum
HP:0011962	Obstructive azoospermia
HP:0100796	Orchitis
HP:0008720	Primary testicular failure
HP:0012646	Retractile testis
HP:0430121	Seminal vesicle agenesis
HP:6000191	Seminal vesicle cyst
HP:6000338	Seminal vesicle hypoplasia
HP:0034746	Sertoli cell hyperplasia
HP:0100619	Sertoli cell neoplasm
HP:0000046	Small scrotum
HP:0025410	Splenogonadal fusion
HP:0010470	Supernumerary testes
HP:0025451	Testicular adrenal rest tumor
HP:0000029	Testicular atrophy
HP:0008715	Testicular dysgenesis
HP:0012860	Testicular fibrosis
HP:0000030	Testicular gonadoblastoma
HP:0025476	Testicular lipomatosis
HP:0032404	Testicular mass
HP:0012215	Testicular microlithiasis
HP:0100617	Testicular seminoma
HP:0100616	Testicular teratoma
HP:0100813	Testicular torsion
HP:0012871	varicocele
